"publication_date","district","state","country","confirmed","recovered","source"
"2020-03-14","Charlottenburg-Wilmersdorf","Berlin","Germany",49,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.906914.php"
"2020-03-14","Friedrichshain-Kreuzberg","Berlin","Germany",29,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.906914.php"
"2020-03-14","Lichtenberg","Berlin","Germany",8,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.906914.php"
"2020-03-14","Marzahn-Hellersdorf","Berlin","Germany",9,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.906914.php"
"2020-03-14","Mitte","Berlin","Germany",41,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.906914.php"
"2020-03-14","Neukölln","Berlin","Germany",18,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.906914.php"
"2020-03-14","Pankow","Berlin","Germany",26,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.906914.php"
"2020-03-14","Reinickendorf","Berlin","Germany",11,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.906914.php"
"2020-03-14","Spandau","Berlin","Germany",9,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.906914.php"
"2020-03-14","Steglitz-Zehlendorf","Berlin","Germany",31,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.906914.php"
"2020-03-14","Tempelhof-Schöneberg","Berlin","Germany",24,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.906914.php"
"2020-03-14","Treptow-Köpenick","Berlin","Germany",8,"","https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.906914.php"
